task,width,noise,control,policy,seeds,auc_mean,off_rmse_q0,off_rmse_q8,same_rmse_q8
E,0,0.01,surface_restricted_queries,random,5,1.3685625674103918,1.0277887784320572,0.9024975920953482,0.002550221701996798
E,0,0.01,surface_restricted_queries,regularized_d_optimal,5,0.6437797923390237,1.0277887784320572,0.9093366710857682,0.0018708561531330422
E,0.01,0.01,constrained,augmented_qbc,5,0.05220976976469012,0.48040489565283495,0.0033573041301395586,0.0028615220478757615
E,0.01,0.01,constrained,diversified_qbc,5,0.058552231554526865,0.48040489565283495,0.0022504544984136244,0.0015660260798289847
E,0.01,0.01,constrained,qbc,5,0.05212071563357843,0.48040489565283495,0.0029461544348722635,0.0019241581472217329
E,0.01,0.01,constrained,random,5,0.08305029249661372,0.48040489565283495,0.004351712379919478,0.0018789655887407198
E,0.01,0.01,constrained,regularized_d_optimal,5,0.04018981057427309,0.48040489565283495,0.0028306722090131213,0.0019729655908602775
F,0,0.01,constrained,augmented_qbc,5,0.038977584998227274,0.22190524137305304,0.005735836790490366,0.00237386100698063
F,0,0.01,constrained,diversified_qbc,5,0.04426600489694847,0.22190524137305304,0.0060301001147765754,0.003093773217997246
F,0,0.01,constrained,qbc,5,0.04143461702843677,0.22190524137305304,0.0049202935838205415,0.0037219279520173823
F,0,0.01,constrained,random,5,0.06961877954278314,0.22190524137305304,0.006589398528993075,0.001921044175205969
F,0,0.01,constrained,regularized_d_optimal,5,0.04115293975691636,0.22190524137305304,0.004200299400647008,0.002534480726085646
F,0,0.01,independent_inputs,augmented_qbc,5,0.006946161078434479,0.007876013662348236,0.002108063349798724,0.0021262077075865234
F,0,0.01,independent_inputs,diversified_qbc,5,0.006211646221521612,0.007876013662348236,0.005824230573553056,0.005864436860679773
F,0,0.01,independent_inputs,qbc,5,0.006946161078434479,0.007876013662348236,0.002108063349798724,0.0021262077075865234
F,0,0.01,independent_inputs,random,5,0.004995612620373192,0.007876013662348236,0.003963188625193831,0.0039385036313446245
F,0,0.01,independent_inputs,regularized_d_optimal,5,0.004565944985689369,0.007876013662348236,0.0023796196206994904,0.0024077007284339187
F,0,0.01,matched_marginal_shuffle,augmented_qbc,5,0.01113739313280206,0.011042637166170741,0.005591665614166794,0.005603657988446554
F,0,0.01,matched_marginal_shuffle,diversified_qbc,5,0.008942341911163587,0.011042637166170741,0.0038904479335131656,0.0038812420367067843
F,0,0.01,matched_marginal_shuffle,qbc,5,0.01113739313280206,0.011042637166170741,0.005591665614166794,0.005603657988446554
F,0,0.01,matched_marginal_shuffle,random,5,0.005577864599087924,0.011042637166170741,0.003496400671406017,0.0035972820862023684
F,0,0.01,matched_marginal_shuffle,regularized_d_optimal,5,0.008857718541939643,0.011042637166170741,0.007728388435299575,0.007660046643478069
F,0,0.01,surface_restricted_queries,augmented_qbc,5,0.3752346185006912,0.17009657099835312,0.22830489336859477,0.0012266649335006925
F,0,0.01,surface_restricted_queries,diversified_qbc,5,0.3735997581007703,0.17009657099835312,0.1632705487315535,0.0012750876046369118
F,0,0.01,surface_restricted_queries,qbc,5,0.36320806458457383,0.17009657099835312,0.16977342121014102,0.0011310287327970857
F,0,0.01,surface_restricted_queries,random,5,0.23418337307561923,0.17009657099835312,0.3943592008398732,0.002454555091380059
F,0,0.01,surface_restricted_queries,regularized_d_optimal,5,0.1414140649226868,0.17009657099835312,0.16532705240328383,0.0019324438713338252
F,0.01,0.01,constrained,augmented_qbc,5,0.02047306166538353,0.08597033705422473,0.009019895158435803,0.0018278038190726175
F,0.01,0.01,constrained,diversified_qbc,5,0.1734100124316997,0.08597033705422473,0.006343825858871917,0.005431192114362967
F,0.01,0.01,constrained,qbc,5,0.020703956255599353,0.08597033705422473,0.005060624367046554,0.0016896468188592139
F,0.01,0.01,constrained,random,5,0.032726203191911704,0.08597033705422473,0.0184259067221672,0.004252497508872056
F,0.01,0.01,constrained,regularized_d_optimal,5,0.17267696510270647,0.08597033705422473,0.006533294222839911,0.004896827129507048
